Company,Order_no,Quantity,Sales,Status,Product_line,City,Country,Deal_size,Order_date
"Rovelli Gifts",10173,24,3508.80,Shipped,"Vintage Cars",Bergamo,Italy,Medium,2018-11-05
"Mini Gifts Distributors Ltd.",10182,44,7554.80,Shipped,"Vintage Cars","San Rafael",USA,Large,2018-11-12
"Australian Collectables, Ltd",10193,21,3141.60,Shipped,"Vintage Cars","Glen Waverly",Australia,Medium,2018-11-21
"Muscle Machine Inc",10204,33,5890.50,Shipped,"Vintage Cars",NYC,USA,Medium,2018-12-02
"Corrida Auto Replicas, Ltd",10214,30,5967.00,Shipped,"Vintage Cars",Madrid,Spain,Medium,2019-01-26
"Saveley & Henriot, Co.",10227,26,3712.80,Shipped,"Vintage Cars",Lyon,France,Medium,2019-03-02
"Mini Caravy",10241,41,7597.30,Shipped,"Vintage Cars",Strasbourg,France,Large,2019-04-13
"Amica Models & Co.",10280,26,3668.60,Shipped,"Vintage Cars",Torino,Italy,Medium,2019-08-17
"Handji Gifts& Co",10288,32,5875.20,Shipped,"Vintage Cars",Singapore,Singapore,Medium,2019-09-01
"Mini Gifts Distributors Ltd.",10312,48,8078.40,Shipped,"Vintage Cars","San Rafael",USA,Large,2019-10-21
"Motor Mint Distributors Inc.",10331,44,3257.76,Shipped,"Vintage Cars",Philadelphia,USA,Medium,2019-11-17
"Marseille Mini Autos",10344,45,7650.00,Shipped,"Vintage Cars",Marseille,France,Large,2019-11-25
Toys4GrownUps.com,10367,37,4703.81,Resolved,"Vintage Cars",Pasadena,USA,Medium,2020-01-12
"Euro Shopping Channel",10379,39,5399.55,Shipped,"Vintage Cars",Madrid,Spain,Medium,2020-02-10
"The Sharp Gifts Warehouse",10407,76,14082.80,"On Hold","Vintage Cars","San Jose",USA,Large,2020-04-22
"Souveniers And Things Co.",10420,37,5283.60,"In Process","Vintage Cars",Chatswood,Australia,Medium,2020-05-29
"Marseille Mini Autos",10122,43,3112.34,Shipped,"Classic Cars",Marseille,France,Medium,2018-05-08
"Mini Gifts Distributors Ltd.",10135,48,3806.88,Shipped,"Classic Cars","San Rafael",USA,Medium,2018-07-02
"Collectables For Less Inc.",10147,26,2142.14,Shipped,"Classic Cars",Brickhaven,USA,Small,2018-09-05
"Mini Auto Werke",10170,20,1262.80,Shipped,"Classic Cars",Graz,Austria,Small,2018-11-04
"Online Diecast Creations Co.",10192,45,4088.70,Shipped,"Classic Cars",Nashua,USA,Medium,2018-11-20
"Euro Shopping Channel",10203,45,3846.15,Shipped,"Classic Cars",Madrid,Spain,Medium,2018-12-02
"Euro Shopping Channel",10212,20,1339.80,Shipped,"Classic Cars",Madrid,Spain,Small,2019-01-16
"Vida Sport, Ltd",10225,47,3039.96,Shipped,"Classic Cars",Gensve,Switzerland,Medium,2019-02-22
"Oulu Toy Supplies, Inc.",10239,46,3400.32,Shipped,"Classic Cars",Oulu,Finland,Medium,2019-04-12
"L'ordine Souveniers",10266,33,2464.77,Shipped,"Classic Cars","Reggio Emilia",Italy,Small,2019-07-06
"Signal Gift Stores",10278,29,2634.94,Shipped,"Classic Cars","Las Vegas",USA,Small,2019-08-06
"Vida Sport, Ltd",10287,44,3625.16,Shipped,"Classic Cars",Gensve,Switzerland,Medium,2019-08-30
"Blauer See Auto, Co.",10300,41,3788.40,Shipped,"Classic Cars",Frankfurt,Germany,Medium,2018-10-04
"Toms Spezialitten, Ltd",10310,20,1832.60,Shipped,"Classic Cars",Koln,Germany,Small,2019-10-16
FunGiftIdeas.com,10321,37,2905.98,Shipped,"Classic Cars","New Bedford",USA,Small,2019-11-04
"Land of Toys Inc.",10329,29,2954.81,Shipped,"Classic Cars",NYC,USA,Small,2019-11-15
"Australian Collectors, Co.",10342,55,3599.75,Shipped,"Classic Cars",Melbourne,Australia,Medium,2019-11-24
"Toys of Finland, Co.",10377,31,2100.56,Shipped,"Classic Cars",Helsinki,Finland,Small,2020-02-09
"Mini Caravy",10405,61,4509.12,Shipped,"Classic Cars",Strasbourg,France,Medium,2020-04-14
"Salzburg Collectables",10419,39,3273.27,Shipped,"Classic Cars",Salzburg,Austria,Medium,2020-05-17
"Motor Mint Distributors Inc.",10109,38,4432.70,Shipped,"Classic Cars",Philadelphia,USA,Medium,2018-03-10
"Marseille Mini Autos",10122,31,4100.99,Shipped,"Classic Cars",Marseille,France,Medium,2018-05-08
"Alpha Cognac",10136,36,5274.72,Shipped,"Classic Cars",Toulouse,France,Medium,2018-07-04
"Anna's Decorations, Ltd",10148,25,4232.00,Shipped,"Classic Cars","North Sydney",Australia,Medium,2018-09-11
"Heintze Collectables",10161,48,6145.44,Shipped,"Classic Cars",Aaarhus,Denmark,Medium,2018-10-17
"Online Diecast Creations Co.",10192,47,7421.30,Shipped,"Classic Cars",Nashua,USA,Large,2018-11-20
"Muscle Machine Inc",10204,38,6432.64,Shipped,"Classic Cars",NYC,USA,Medium,2018-12-02
"Euro Shopping Channel",10212,41,4840.87,Shipped,"Classic Cars",Madrid,Spain,Medium,2019-01-16
"Collectable Mini Designs Co.",10226,24,3892.08,Shipped,"Classic Cars","San Diego",USA,Medium,2019-02-26
"L'ordine Souveniers",10266,49,6203.40,Shipped,"Classic Cars","Reggio Emilia",Italy,Medium,2019-07-06
"Signal Gift Stores",10278,29,3754.05,Shipped,"Classic Cars","Las Vegas",USA,Medium,2019-08-06
"Vida Sport, Ltd",10287,24,3516.48,Shipped,"Classic Cars",Gensve,Switzerland,Medium,2019-08-30
"Toms Spezialitten, Ltd",10310,24,3448.08,Shipped,"Classic Cars",Koln,Germany,Medium,2019-10-16
FunGiftIdeas.com,10321,25,3734.00,Shipped,"Classic Cars","New Bedford",USA,Medium,2019-11-04
"Motor Mint Distributors Inc.",10331,30,974.10,Shipped,"Classic Cars",Philadelphia,USA,Small,2019-11-17
"Australian Collectors, Co.",10342,22,3160.74,Shipped,"Classic Cars",Melbourne,Australia,Medium,2019-11-24
"Lyon Souveniers",10356,27,1746.63,Shipped,"Classic Cars",Paris,France,Small,2019-12-09
"Toys of Finland, Co.",10377,36,4352.76,Shipped,"Classic Cars",Helsinki,Finland,Medium,2020-02-09
"Mini Gifts Distributors Ltd.",10390,34,1463.70,Shipped,"Classic Cars","San Rafael",USA,Small,2020-03-04
"Danish Wholesale Imports",10406,48,7169.28,Disputed,"Classic Cars",Kobenhavn,Denmark,Large,2020-04-15
"Salzburg Collectables",10419,34,4594.76,Shipped,"Classic Cars",Salzburg,Austria,Medium,2020-05-17
"Euro Shopping Channel",10104,24,3457.92,Shipped,"Classic Cars",Madrid,Spain,Medium,2018-01-31
"Classic Legends Inc.",10115,46,7381.16,Shipped,"Classic Cars",NYC,USA,Large,2018-04-04
"Muscle Machine Inc",10127,45,7146.90,Shipped,"Classic Cars",NYC,USA,Large,2018-06-03
"Oulu Toy Supplies, Inc.",10151,43,7110.91,Shipped,"Classic Cars",Oulu,Finland,Large,2018-09-21
"Dragon Souveniers, Ltd.",10165,29,5032.95,Shipped,"Classic Cars",Singapore,Singapore,Medium,2018-10-22
"L'ordine Souveniers",10176,20,3667.60,Shipped,"Classic Cars","Reggio Emilia",Italy,Medium,2018-11-06
"Iberia Gift Imports, Corp.",10184,46,7381.16,Shipped,"Classic Cars",Sevilla,Spain,Large,2018-11-14
"Mini Classics",10195,27,5128.11,Shipped,"Classic Cars","White Plains",USA,Medium,2018-11-25
"Diecast Collectables",10207,44,7060.24,Shipped,"Classic Cars",Boston,USA,Large,2018-12-09
"Signal Collectibles Ltd.",10219,43,8448.64,Shipped,"Classic Cars",Brisbane,USA,Large,2019-02-10
"Blauer See Auto, Co.",10230,49,7300.51,Shipped,"Classic Cars",Frankfurt,Germany,Large,2019-03-15
"Euro Shopping Channel",10246,40,6549.20,Shipped,"Classic Cars",Madrid,Spain,Medium,2019-05-05
"Handji Gifts& Co",10259,30,5697.90,Shipped,"Classic Cars",Singapore,Singapore,Medium,2019-06-15
"Mini Gifts Distributors Ltd.",10271,50,9169.00,Shipped,"Classic Cars","San Rafael",USA,Large,2019-07-20
"Mini Gifts Distributors Ltd.",10282,23,3238.63,Shipped,"Classic Cars","San Rafael",USA,Medium,2019-08-20
"Land of Toys Inc.",10292,26,4554.94,Shipped,"Classic Cars",NYC,USA,Medium,2019-09-08
"Marta's Replicas Co.",10305,27,3934.44,Shipped,"Classic Cars",Cambridge,USA,Medium,2019-10-13
"Heintze Collectables",10314,42,5776.26,Shipped,"Classic Cars",Aaarhus,Denmark,Medium,2019-10-22
"Vitachrome Inc.",10324,47,7207.45,Shipped,"Classic Cars",NYC,USA,Large,2019-11-05
"La Corne D'abondance, Co.",10336,49,7460.74,Shipped,"Classic Cars",Paris,France,Large,2019-11-20
"Muscle Machine Inc",10349,38,6719.54,Shipped,"Classic Cars",NYC,USA,Medium,2019-12-01
"Euro Shopping Channel",10358,20,2428.00,Shipped,"Classic Cars",Madrid,Spain,Small,2019-12-10
"Mini Gifts Distributors Ltd.",10371,25,2602.25,Shipped,"Classic Cars","San Rafael",USA,Small,2020-01-23
"Mini Gifts Distributors Ltd.",10382,25,2200.00,Shipped,"Classic Cars","San Rafael",USA,Small,2020-02-17
"Euro Shopping Channel",10412,41,6712.93,Shipped,"Classic Cars",Madrid,Spain,Medium,2020-05-03
"La Rochelle Gifts",10425,28,5318.04,"In Process","Classic Cars",Nantes,France,Medium,2020-05-31
"Online Diecast Creations Co.",10100,50,3390.00,Shipped,"Vintage Cars",Nashua,USA,Medium,2018-01-06
"Signal Gift Stores",10124,42,2262.96,Shipped,"Vintage Cars","Las Vegas",USA,Small,2018-05-21
"Signal Collectibles Ltd.",10149,24,1496.64,Shipped,"Vintage Cars",Brisbane,USA,Small,2018-09-12
"Rovelli Gifts",10173,26,1495.26,Shipped,"Vintage Cars",Bergamo,Italy,Small,2018-11-05
"Mini Gifts Distributors Ltd.",10182,38,2323.70,Shipped,"Vintage Cars","San Rafael",USA,Small,2018-11-12
"Australian Collectables, Ltd",10193,42,2491.86,Shipped,"Vintage Cars","Glen Waverly",Australia,Small,2018-11-21
"Muscle Machine Inc",10204,23,1643.12,Shipped,"Vintage Cars",NYC,USA,Small,2018-12-02
"Corrida Auto Replicas, Ltd",10214,21,1322.16,Shipped,"Vintage Cars",Madrid,Spain,Small,2019-01-26
"Saveley & Henriot, Co.",10227,28,1423.80,Shipped,"Vintage Cars",Lyon,France,Small,2019-03-02
"Mini Caravy",10241,33,2397.45,Shipped,"Vintage Cars",Strasbourg,France,Small,2019-04-13
"Amica Models & Co.",10280,25,1574.00,Shipped,"Vintage Cars",Torino,Italy,Small,2019-08-17
"Handji Gifts& Co",10288,28,1729.00,Shipped,"Vintage Cars",Singapore,Singapore,Small,2019-09-01
"Iberia Gift Imports, Corp.",10303,46,2255.84,Shipped,"Vintage Cars",Sevilla,Spain,Small,2019-10-06
"Mini Gifts Distributors Ltd.",10312,30,1834.50,Shipped,"Vintage Cars","San Rafael",USA,Small,2019-10-21
"Marseille Mini Autos",10344,40,2276.40,Shipped,"Vintage Cars",Marseille,France,Small,2019-11-25
Toys4GrownUps.com,10367,45,8884.80,Resolved,"Vintage Cars",Pasadena,USA,Large,2020-01-12
"Euro Shopping Channel",10379,27,1331.10,Shipped,"Vintage Cars",Madrid,Spain,Small,2020-02-10
"The Sharp Gifts Warehouse",10407,42,3051.30,"On Hold","Vintage Cars","San Jose",USA,Medium,2020-04-22
"Souveniers And Things Co.",10420,36,2288.52,"In Process","Vintage Cars",Chatswood,Australia,Small,2020-05-29
"Euro Shopping Channel",10104,29,3772.61,Shipped,"Trucks and Buses",Madrid,Spain,Medium,2018-01-31
"La Corne D'abondance, Co.",10114,39,4164.42,Shipped,"Trucks and Buses",Paris,France,Medium,2018-04-01
"Muscle Machine Inc",10127,45,6295.95,Shipped,"Trucks and Buses",NYC,USA,Medium,2018-06-03
"Oulu Toy Supplies, Inc.",10151,49,5412.54,Shipped,"Trucks and Buses",Oulu,Finland,Medium,2018-09-21
"Dragon Souveniers, Ltd.",10165,46,5984.14,Shipped,"Trucks and Buses",Singapore,Singapore,Medium,2018-10-22
"Iberia Gift Imports, Corp.",10184,46,5984.14,Shipped,"Trucks and Buses",Sevilla,Spain,Medium,2018-11-14
"Mini Classics",10195,35,3608.15,Shipped,"Trucks and Buses","White Plains",USA,Medium,2018-11-25
"Diecast Collectables",10207,43,5752.54,Shipped,"Trucks and Buses",Boston,USA,Medium,2018-12-09
"Mini Gifts Distributors Ltd.",10229,26,3765.32,Shipped,"Trucks and Buses","San Rafael",USA,Medium,2019-03-11
"Euro Shopping Channel",10246,22,2159.96,Shipped,"Trucks and Buses",Madrid,Spain,Small,2019-05-05
"Handji Gifts& Co",10259,34,3379.94,Shipped,"Trucks and Buses",Singapore,Singapore,Medium,2019-06-15
"Mini Gifts Distributors Ltd.",10271,50,5093.50,Shipped,"Trucks and Buses","San Rafael",USA,Medium,2019-07-20
"Diecast Classics Inc.",10281,48,5773.44,Shipped,"Trucks and Buses",Allentown,USA,Medium,2019-08-19
"Land of Toys Inc.",10292,41,4528.86,Shipped,"Trucks and Buses",NYC,USA,Medium,2019-09-08
"Marta's Replicas Co.",10305,36,4816.08,Shipped,"Trucks and Buses",Cambridge,USA,Medium,2019-10-13
"Vitachrome Inc.",10324,33,1236.84,Shipped,"Trucks and Buses",NYC,USA,Small,2019-11-05
"Muscle Machine Inc",10349,38,5223.48,Shipped,"Trucks and Buses",NYC,USA,Medium,2019-12-01
"Euro Shopping Channel",10358,20,728.40,Shipped,"Trucks and Buses",Madrid,Spain,Small,2019-12-10
"Anna's Decorations, Ltd",10370,22,3949.00,Shipped,"Trucks and Buses","North Sydney",Australia,Medium,2020-01-20
"Euro Shopping Channel",10383,27,3843.99,Shipped,"Trucks and Buses",Madrid,Spain,Medium,2020-02-22
"Euro Shopping Channel",10412,56,5498.08,Shipped,"Trucks and Buses",Madrid,Spain,Medium,2020-05-03
"La Rochelle Gifts",10425,38,3777.58,"In Process","Trucks and Buses",Nantes,France,Medium,2020-05-31
"Blauer See Auto, Co.",10101,25,3782.00,Shipped,"Vintage Cars",Frankfurt,Germany,Medium,2018-01-09
"Signal Gift Stores",10124,42,4431.84,Shipped,"Vintage Cars","Las Vegas",USA,Medium,2018-05-21
"Signal Collectibles Ltd.",10149,33,4950.33,Shipped,"Vintage Cars",Brisbane,USA,Medium,2018-09-12
"Rovelli Gifts",10173,31,4492.83,Shipped,"Vintage Cars",Bergamo,Italy,Medium,2018-11-05
"Mini Gifts Distributors Ltd.",10182,20,2212.00,Shipped,"Vintage Cars","San Rafael",USA,Small,2018-11-12
"Australian Collectables, Ltd",10193,44,4642.88,Shipped,"Vintage Cars","Glen Waverly",Australia,Medium,2018-11-21
"Muscle Machine Inc",10204,26,3206.32,Shipped,"Vintage Cars",NYC,USA,Medium,2018-12-02
"Corrida Auto Replicas, Ltd",10214,27,3604.23,Shipped,"Vintage Cars",Madrid,Spain,Medium,2019-01-26
"Saveley & Henriot, Co.",10227,46,7017.76,Shipped,"Vintage Cars",Lyon,France,Large,2019-03-02
"Diecast Collectables",10243,47,6154.18,Shipped,"Vintage Cars",Boston,USA,Medium,2019-04-26
"Amica Models & Co.",10280,37,4750.80,Shipped,"Vintage Cars",Torino,Italy,Medium,2019-08-17
"Handji Gifts& Co",10288,31,3822.92,Shipped,"Vintage Cars",Singapore,Singapore,Medium,2019-09-01
"Auto Assoc. & Cie.",10304,24,2440.80,Shipped,"Vintage Cars",Versailles,France,Small,2019-10-11
"Mini Gifts Distributors Ltd.",10312,31,4729.36,Shipped,"Vintage Cars","San Rafael",USA,Medium,2019-10-21
"Online Diecast Creations Co.",10322,50,12536.50,Shipped,"Vintage Cars",Nashua,USA,Large,2019-11-04
"Marseille Mini Autos",10344,30,3928.20,Shipped,"Vintage Cars",Marseille,France,Medium,2019-11-25
"Lyon Souveniers",10356,29,3630.22,Shipped,"Vintage Cars",Paris,France,Medium,2019-12-09
Toys4GrownUps.com,10367,27,4196.07,Resolved,"Vintage Cars",Pasadena,USA,Medium,2020-01-12
"Euro Shopping Channel",10380,40,4931.60,Shipped,"Vintage Cars",Madrid,Spain,Medium,2020-02-16
"Mini Gifts Distributors Ltd.",10390,31,3068.69,Shipped,"Vintage Cars","San Rafael",USA,Medium,2020-03-04
"Handji Gifts& Co",10409,6,785.64,Shipped,"Vintage Cars",Singapore,Singapore,Small,2020-04-23
"Souveniers And Things Co.",10420,45,4977.00,"In Process","Vintage Cars",Chatswood,Australia,Medium,2020-05-29
"Baane Mini Imports",10103,22,1189.98,Shipped,"Trucks and Buses",Stavern,Norway,Small,2018-01-29
"La Corne D'abondance, Co.",10114,45,3090.15,Shipped,"Trucks and Buses",Paris,France,Medium,2018-04-01
"Corrida Auto Replicas, Ltd",10126,43,2795.86,Shipped,"Trucks and Buses",Madrid,Spain,Small,2018-05-28
"Technics Stores Inc.",10140,46,2851.54,Shipped,"Trucks and Buses",Burlingame,USA,Small,2018-07-24
"Oulu Toy Supplies, Inc.",10151,39,2701.92,Shipped,"Trucks and Buses",Oulu,Finland,Small,2018-09-21
"Dragon Souveniers, Ltd.",10165,31,2204.10,Shipped,"Trucks and Buses",Singapore,Singapore,Small,2018-10-22
"Iberia Gift Imports, Corp.",10184,44,2647.04,Shipped,"Trucks and Buses",Sevilla,Spain,Small,2018-11-14
"Saveley & Henriot, Co.",10194,45,3172.05,Shipped,"Trucks and Buses",Lyon,France,Medium,2018-11-25
"Diecast Collectables",10207,37,2585.93,Shipped,"Trucks and Buses",Boston,USA,Small,2018-12-09
"Handji Gifts& Co",10217,35,2148.30,Shipped,"Trucks and Buses",Singapore,Singapore,Small,2019-02-04
"Mini Gifts Distributors Ltd.",10229,28,1667.40,Shipped,"Trucks and Buses","San Rafael",USA,Small,2019-03-11
"Euro Shopping Channel",10246,30,1859.70,Shipped,"Trucks and Buses",Madrid,Spain,Small,2019-05-05
"Handji Gifts& Co",10259,30,1476.60,Shipped,"Trucks and Buses",Singapore,Singapore,Small,2019-06-15
"Mini Gifts Distributors Ltd.",10271,25,1732.00,Shipped,"Trucks and Buses","San Rafael",USA,Small,2019-07-20
"Diecast Classics Inc.",10281,29,1674.17,Shipped,"Trucks and Buses",Allentown,USA,Small,2019-08-19
"Marta's Replicas Co.",10305,41,2192.68,Shipped,"Trucks and Buses",Cambridge,USA,Small,2019-10-13
"Online Diecast Creations Co.",10322,35,2142.35,Shipped,"Trucks and Buses",Nashua,USA,Small,2019-11-04
"Australian Collectors, Co.",10347,50,6834.50,Shipped,"Trucks and Buses",Melbourne,Australia,Medium,2019-11-29
"Mini Gifts Distributors Ltd.",10357,41,2541.59,Shipped,"Trucks and Buses","San Rafael",USA,Small,2019-12-10
"Anna's Decorations, Ltd",10370,22,2130.92,Shipped,"Trucks and Buses","North Sydney",Australia,Small,2020-01-20
"Anna's Decorations, Ltd",10391,44,1694.00,Shipped,"Trucks and Buses","North Sydney",Australia,Small,2020-03-09
"Euro Shopping Channel",10412,47,2913.53,Shipped,"Trucks and Buses",Madrid,Spain,Small,2020-05-03
"La Rochelle Gifts",10425,19,935.18,"In Process","Trucks and Buses",Nantes,France,Small,2020-05-31
"Rovelli Gifts",10106,34,3073.26,Shipped,Planes,Bergamo,Italy,Medium,2018-02-17
"Australian Collectors, Co.",10120,29,2082.49,Shipped,Planes,Melbourne,Australia,Small,2018-04-29
"Euro Shopping Channel",10133,49,3394.23,Shipped,Planes,Madrid,Spain,Medium,2018-06-27
Toys4GrownUps.com,10145,30,2559.60,Shipped,Planes,Pasadena,USA,Small,2018-08-25
"Technics Stores Inc.",10168,21,1490.16,Shipped,Planes,Burlingame,USA,Small,2018-10-28
"Australian Collectors, Co.",10223,47,4724.91,Shipped,Planes,Melbourne,Australia,Medium,2019-02-20
"The Sharp Gifts Warehouse",10250,27,2668.68,Shipped,Planes,"San Jose",USA,Small,2019-05-11
"Gift Depot Inc.",10263,33,2843.61,Shipped,Planes,Bridgewater,USA,Small,2019-06-28
"La Rochelle Gifts",10275,35,3163.65,Shipped,Planes,Nantes,France,Medium,2019-07-23
"Clover Collections, Co.",10297,25,2069.75,Shipped,Planes,Dublin,Ireland,Small,2019-09-16
"Mini Classics",10308,27,2235.33,Shipped,Planes,"White Plains",USA,Small,2019-10-15
"Diecast Classics Inc.",10318,31,3116.43,Shipped,Planes,Allentown,USA,Medium,2019-11-02
"Danish Wholesale Imports",10327,45,4781.70,Resolved,Planes,Kobenhavn,Denmark,Medium,2019-11-10
"Gift Ideas Corp.",10353,27,3515.67,Shipped,Planes,Glendale,USA,Medium,2019-12-04
"Australian Gift Network, Co",10374,42,2909.34,Shipped,Planes,"South Brisbane",Australia,Small,2020-02-02
"Euro Shopping Channel",10386,21,1570.17,Resolved,Planes,Madrid,Spain,Small,2020-03-01
"Reims Collectables",10398,34,2613.92,Shipped,Planes,Reims,France,Small,2020-03-30
"Tekni Collectables Inc.",10401,42,3193.26,"On Hold",Planes,Newark,USA,Medium,2020-04-03
"L'ordine Souveniers",10416,15,1482.60,Shipped,Planes,"Reggio Emilia",Italy,Small,2020-05-10
"Land of Toys Inc.",10107,29,2055.23,Shipped,Motorcycles,NYC,USA,Small,2018-02-24
"Australian Collectors, Co.",10120,46,2674.90,Shipped,Motorcycles,Melbourne,Australia,Small,2018-04-29
"Lyon Souveniers",10134,30,1853.40,Shipped,Motorcycles,Paris,France,Small,2018-07-01
Toys4GrownUps.com,10145,30,1490.10,Shipped,Motorcycles,Pasadena,USA,Small,2018-08-25
"Technics Stores Inc.",10168,46,2814.28,Shipped,Motorcycles,Burlingame,USA,Small,2018-10-28
"Daedalus Designs Imports",10180,25,1605.00,Shipped,Motorcycles,Lille,France,Small,2018-11-11
"Australian Collectors, Co.",10223,28,1695.96,Shipped,Motorcycles,Melbourne,Australia,Small,2019-02-20
"Motor Mint Distributors Inc.",10236,23,1281.56,Shipped,Motorcycles,Philadelphia,USA,Small,2019-04-03
"Tekni Collectables Inc.",10251,29,1774.22,Shipped,Motorcycles,Newark,USA,Small,2019-05-18
"Gift Depot Inc.",10263,34,1997.50,Shipped,Motorcycles,Bridgewater,USA,Small,2019-06-28
"La Rochelle Gifts",10275,37,2353.20,Shipped,Motorcycles,Nantes,France,Small,2019-07-23
"Marta's Replicas Co.",10285,20,981.20,Shipped,Motorcycles,Cambridge,USA,Small,2019-08-27
"Atelier graphique",10298,32,1550.72,Shipped,Motorcycles,Nantes,France,Small,2019-09-27
"Mini Classics",10308,34,1771.06,Shipped,Motorcycles,"White Plains",USA,Small,2019-10-15
"Diecast Classics Inc.",10318,42,2213.40,Shipped,Motorcycles,Allentown,USA,Small,2019-11-02
"Land of Toys Inc.",10329,38,5266.04,Shipped,Motorcycles,NYC,USA,Medium,2019-11-15
"Technics Stores Inc.",10362,23,1142.41,Shipped,Motorcycles,Burlingame,USA,Small,2020-01-05
"Australian Gift Network, Co",10374,22,1172.60,Shipped,Motorcycles,"South Brisbane",Australia,Small,2020-02-02
"Auto Canal Petit",10402,55,3064.60,Shipped,Motorcycles,Paris,France,Medium,2020-04-07
"Euro Shopping Channel",10417,36,2202.48,Disputed,Motorcycles,Madrid,Spain,Small,2020-05-13
"Blauer See Auto, Co.",10101,26,3773.38,Shipped,"Vintage Cars",Frankfurt,Germany,Medium,2018-01-09
"Australian Collectors, Co.",10125,34,6483.46,Shipped,"Vintage Cars",Melbourne,Australia,Medium,2018-05-21
"Souveniers And Things Co.",10139,41,7956.46,Shipped,"Vintage Cars",Chatswood,Australia,Large,2018-07-16
"Signal Collectibles Ltd.",10149,23,4230.62,Shipped,"Vintage Cars",Brisbane,USA,Medium,2018-09-12
"Rovelli Gifts",10173,22,3452.68,Shipped,"Vintage Cars",Bergamo,Italy,Medium,2018-11-05
"Mini Gifts Distributors Ltd.",10182,21,3047.73,Shipped,"Vintage Cars","San Rafael",USA,Medium,2018-11-12
"Australian Collectables, Ltd",10193,22,3675.32,Shipped,"Vintage Cars","Glen Waverly",Australia,Medium,2018-11-21
"Euro Shopping Channel",10205,40,7492.40,Shipped,"Vintage Cars",Madrid,Spain,Large,2018-12-03
"Corrida Auto Replicas, Ltd",10214,50,9534.50,Shipped,"Vintage Cars",Madrid,Spain,Large,2019-01-26
"Saveley & Henriot, Co.",10227,29,5579.02,Shipped,"Vintage Cars",Lyon,France,Medium,2019-03-02
"Euro Shopping Channel",10244,43,5950.34,Shipped,"Vintage Cars",Madrid,Spain,Medium,2019-04-29
"Mini Caravy",10255,24,3726.00,Shipped,"Vintage Cars",Strasbourg,France,Medium,2019-06-04
"Amica Models & Co.",10280,22,4455.00,Shipped,"Vintage Cars",Torino,Italy,Medium,2019-08-17
"Auto Assoc. & Cie.",10304,20,3577.60,Shipped,"Vintage Cars",Versailles,France,Medium,2019-10-11
"Mini Gifts Distributors Ltd.",10312,25,3881.25,Shipped,"Vintage Cars","San Rafael",USA,Medium,2019-10-21
"Online Diecast Creations Co.",10322,36,5797.44,Shipped,"Vintage Cars",Nashua,USA,Medium,2019-11-04
"Australian Collectors, Co.",10347,21,4815.30,Shipped,"Vintage Cars",Melbourne,Australia,Medium,2019-11-29
"Lyon Souveniers",10356,30,4462.20,Shipped,"Vintage Cars",Paris,France,Medium,2019-12-09
Toys4GrownUps.com,10367,32,3033.28,Resolved,"Vintage Cars",Pasadena,USA,Medium,2020-01-12
"Euro Shopping Channel",10380,21,990.78,Shipped,"Vintage Cars",Madrid,Spain,Small,2020-02-16
"Mini Gifts Distributors Ltd.",10390,26,2030.86,Shipped,"Vintage Cars","San Rafael",USA,Small,2020-03-04
"Mini Gifts Distributors Ltd.",10421,35,5433.75,"In Process","Vintage Cars","San Rafael",USA,Medium,2020-05-29
"Motor Mint Distributors Inc.",10109,26,3157.44,Shipped,"Classic Cars",Philadelphia,USA,Medium,2018-03-10
"Atelier graphique",10123,46,5161.20,Shipped,"Classic Cars",Nantes,France,Medium,2018-05-20
"Reims Collectables",10137,37,4346.76,Shipped,"Classic Cars",Reims,France,Medium,2018-07-10
"Anna's Decorations, Ltd",10148,27,3528.36,Shipped,"Classic Cars","North Sydney",Australia,Medium,2018-09-11
"Heintze Collectables",10161,23,3187.80,Shipped,"Classic Cars",Aaarhus,Denmark,Medium,2018-10-17
"Gift Depot Inc.",10172,39,6023.16,Shipped,"Classic Cars",Bridgewater,USA,Medium,2018-11-05
"Online Diecast Creations Co.",10192,38,4965.84,Shipped,"Classic Cars",Nashua,USA,Medium,2018-11-20
"Muscle Machine Inc",10204,27,4169.88,Shipped,"Classic Cars",NYC,USA,Medium,2018-12-02
"Euro Shopping Channel",10212,40,4910.40,Shipped,"Classic Cars",Madrid,Spain,Medium,2019-01-16
"Collectable Mini Designs Co.",10226,24,3231.36,Shipped,"Classic Cars","San Diego",USA,Medium,2019-02-26
"Mini Caravy",10241,44,6853.44,Shipped,"Classic Cars",Strasbourg,France,Medium,2019-04-13
"L'ordine Souveniers",10266,20,2824.80,Shipped,"Classic Cars","Reggio Emilia",Italy,Small,2019-07-06
"Signal Gift Stores",10278,39,4324.32,Shipped,"Classic Cars","Las Vegas",USA,Medium,2019-08-06
"Vida Sport, Ltd",10287,44,5052.96,Shipped,"Classic Cars",Gensve,Switzerland,Medium,2019-08-30
"Euro Shopping Channel",10311,43,5278.68,Shipped,"Classic Cars",Madrid,Spain,Medium,2019-10-16
FunGiftIdeas.com,10321,27,2851.20,Shipped,"Classic Cars","New Bedford",USA,Small,2019-11-04
"Motor Mint Distributors Inc.",10331,26,1687.40,Shipped,"Classic Cars",Philadelphia,USA,Small,2019-11-17
"Reims Collectables",10343,25,1308.00,Shipped,"Classic Cars",Reims,France,Small,2019-11-24
"Euro Shopping Channel",10379,29,5127.20,Shipped,"Classic Cars",Madrid,Spain,Medium,2020-02-10
